Name,total_score,mae_task1,mae_task2,mae_combined,candidate_no,DROP_COLUMNS,NORMALIZATIONS,HIDDEN_LAYERS,iterations,solver,lr_init,momentum,lr
Candidat_733270,100,0.358557295,0.332853736,0.691411032,733270,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.9,constant
Candidat_733271,100,0.358557295,0.332853736,0.691411032,733271,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.9,invscaling
Candidat_733272,100,0.358557295,0.332853736,0.691411032,733272,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.9,adaptive
Candidat_733273,100,0.358557295,0.332853736,0.691411032,733273,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.85,constant
Candidat_733274,100,0.358557295,0.332853736,0.691411032,733274,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.85,invscaling
Candidat_733275,100,0.358557295,0.332853736,0.691411032,733275,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.85,adaptive
Candidat_733265,100,0.358557295,0.332853736,0.691411032,733265,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.99,invscaling
Candidat_733264,100,0.358557295,0.332853736,0.691411032,733264,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.99,constant
Candidat_733263,100,0.358557295,0.332853736,0.691411032,733263,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,1,adaptive
Candidat_688767,100,0.358517288,0.344764028,0.703281316,688767,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.9,adaptive
Candidat_688756,100,0.358517288,0.344764028,0.703281316,688756,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,1,constant
Candidat_688757,100,0.358517288,0.344764028,0.703281316,688757,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,1,invscaling
Candidat_688758,100,0.358517288,0.344764028,0.703281316,688758,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,1,adaptive
Candidat_688759,100,0.358517288,0.344764028,0.703281316,688759,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.99,constant
